iter	Passed	Remaining
922	2013	167
923	2015	165
924	2018	163
925	2020	161
926	2022	159
927	2024	157
928	2025	154
929	2027	152
930	2029	150
931	2031	148
932	2033	146
933	2035	143
934	2037	141
935	2039	139
936	2040	137
937	2042	135
938	2044	132
939	2046	130
940	2049	128
941	2050	126
942	2052	124
943	2054	121
944	2056	119
945	2058	117
946	2059	115
947	2062	113
948	2064	110
949	2066	108
950	2068	106
951	2070	104
952	2072	102
953	2073	99
954	2076	97
955	2078	95
956	2079	93
957	2081	91
958	2083	89
959	2085	86
960	2087	84
961	2089	82
962	2091	80
963	2093	78
964	2094	75
965	2096	73
966	2098	71
967	2100	69
968	2102	67
969	2104	65
970	2106	62
971	2108	60
972	2110	58
973	2112	56
974	2114	54
975	2115	52
976	2117	49
977	2119	47
978	2121	45
979	2123	43
980	2125	41
981	2127	38
982	2129	36
983	2131	34
984	2132	32
985	2134	30
986	2136	28
987	2139	25
988	2140	23
989	2142	21
990	2144	19
991	2146	17
992	2148	15
993	2150	12
994	2151	10
995	2153	8
996	2155	6
997	2157	4
998	2159	2
999	2161	0
